SOURCE_TABLE,SOURCE_FIELD,TARGET_TABLE,TARGET_FIELD
STEM_TABLE,PERSON_ID,CONDITION_OCCURRENCE,PERSON_ID
STEM_TABLE,VISIT_OCCURRENCE_ID,CONDITION_OCCURRENCE,VISIT_OCCURRENCE_ID
STEM_TABLE,VISIT_DETAIL_ID,CONDITION_OCCURRENCE,VISIT_DETAIL_ID
STEM_TABLE,PROVIDER_ID,CONDITION_OCCURRENCE,PROVIDER_ID
STEM_TABLE,ID,CONDITION_OCCURRENCE,CONDITION_OCCURRENCE_ID
STEM_TABLE,CONCEPT_ID,CONDITION_OCCURRENCE,CONDITION_CONCEPT_ID
STEM_TABLE,SOURCE_VALUE,CONDITION_OCCURRENCE,CONDITION_SOURCE_VALUE
STEM_TABLE,SOURCE_CONCEPT_ID,CONDITION_OCCURRENCE,CONDITION_SOURCE_CONCEPT_ID
STEM_TABLE,TYPE_CONCEPT_ID,CONDITION_OCCURRENCE,CONDITION_TYPE_CONCEPT_ID
STEM_TABLE,START_DATE,CONDITION_OCCURRENCE,CONDITION_START_DATE
STEM_TABLE,START_DATETIME,CONDITION_OCCURRENCE,CONDITION_START_DATETIME
STEM_TABLE,END_DATE,CONDITION_OCCURRENCE,CONDITION_END_DATE
STEM_TABLE,END_DATETIME,CONDITION_OCCURRENCE,CONDITION_END_DATETIME
STEM_TABLE,STOP_REASON,CONDITION_OCCURRENCE,STOP_REASON
STEM_TABLE,CONDITION_STATUS_SOURCE_VALUE,CONDITION_OCCURRENCE,CONDITION_STATUS_SOURCE_VALUE
STEM_TABLE,CONDITION_STATUS_CONCEPT_ID,CONDITION_OCCURRENCE,CONDITION_STATUS_CONCEPT_ID
STEM_TABLE,PERSON_ID,DRUG_EXPOSURE,PERSON_ID
STEM_TABLE,ID,DRUG_EXPOSURE,DRUG_EXPOSURE_ID
STEM_TABLE,CONCEPT_ID,DRUG_EXPOSURE,DRUG_CONCEPT_ID
STEM_TABLE,START_DATE,DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATE
STEM_TABLE,START_DATETIME,DRUG_EXPOSURE,DRUG_EXPOSURE_START_DATETIME
STEM_TABLE,END_DATE,DRUG_EXPOSURE,DRUG_EXPOSURE_END_DATE
STEM_TABLE,END_DATETIME,DRUG_EXPOSURE,DRUG_EXPOSURE_END_DATETIME
STEM_TABLE,VERBATIM_END_DATE,DRUG_EXPOSURE,VERBATIM_END_DATE
STEM_TABLE,TYPE_CONCEPT_ID,DRUG_EXPOSURE,DRUG_TYPE_CONCEPT_ID
STEM_TABLE,STOP_REASON,DRUG_EXPOSURE,STOP_REASON
STEM_TABLE,REFILLS,DRUG_EXPOSURE,REFILLS
STEM_TABLE,QUANTITY,DRUG_EXPOSURE,QUANTITY
STEM_TABLE,DAYS_SUPPLY,DRUG_EXPOSURE,DAYS_SUPPLY
STEM_TABLE,SIG,DRUG_EXPOSURE,SIG
STEM_TABLE,ROUTE_CONCEPT_ID,DRUG_EXPOSURE,ROUTE_CONCEPT_ID
STEM_TABLE,LOT_NUMBER,DRUG_EXPOSURE,LOT_NUMBER
STEM_TABLE,PROVIDER_ID,DRUG_EXPOSURE,PROVIDER_ID
STEM_TABLE,VISIT_OCCURRENCE_ID,DRUG_EXPOSURE,VISIT_OCCURRENCE_ID
STEM_TABLE,VISIT_DETAIL_ID,DRUG_EXPOSURE,VISIT_DETAIL_ID
STEM_TABLE,SOURCE_VALUE,DRUG_EXPOSURE,DRUG_SOURCE_VALUE
STEM_TABLE,SOURCE_CONCEPT_ID,DRUG_EXPOSURE,DRUG_SOURCE_CONCEPT_ID
STEM_TABLE,ROUTE_SOURCE_VALUE,DRUG_EXPOSURE,ROUTE_SOURCE_VALUE
STEM_TABLE,DOSE_UNIT_SOURCE_VALUE,DRUG_EXPOSURE,DOSE_UNIT_SOURCE_VALUE
STEM_TABLE,PERSON_ID,DEVICE_EXPOSURE,PERSON_ID
STEM_TABLE,ID,DEVICE_EXPOSURE,DEVICE_EXPOSURE_ID
STEM_TABLE,CONCEPT_ID,DEVICE_EXPOSURE,DEVICE_CONCEPT_ID
STEM_TABLE,START_DATE,DEVICE_EXPOSURE,DEVICE_EXPOSURE_START_DATE
STEM_TABLE,START_DATETIME,DEVICE_EXPOSURE,DEVICE_EXPOSURE_START_DATETIME
STEM_TABLE,END_DATE,DEVICE_EXPOSURE,DEVICE_EXPOSURE_END_DATE
STEM_TABLE,END_DATETIME,DEVICE_EXPOSURE,DEVICE_EXPOSURE_END_DATETIME
STEM_TABLE,TYPE_CONCEPT_ID,DEVICE_EXPOSURE,DEVICE_TYPE_CONCEPT_ID
STEM_TABLE,UNIQUE_DEVICE_ID,DEVICE_EXPOSURE,UNIQUE_DEVICE_ID
STEM_TABLE,QUANTITY,DEVICE_EXPOSURE,QUANTITY
STEM_TABLE,PROVIDER_ID,DEVICE_EXPOSURE,PROVIDER_ID
STEM_TABLE,VISIT_OCCURRENCE_ID,DEVICE_EXPOSURE,VISIT_OCCURRENCE_ID
STEM_TABLE,VISIT_DETAIL_ID,DEVICE_EXPOSURE,VISIT_DETAIL_ID
STEM_TABLE,SOURCE_VALUE,DEVICE_EXPOSURE,DEVICE_SOURCE_VALUE
STEM_TABLE,SOURCE_CONCEPT_ID,DEVICE_EXPOSURE,DEVICE_SOURCE_CONCEPT_ID
STEM_TABLE,PERSON_ID,MEASUREMENT,PERSON_ID
STEM_TABLE,ID,MEASUREMENT,MEASUREMENT_ID
STEM_TABLE,CONCEPT_ID,MEASUREMENT,MEASUREMENT_CONCEPT_ID
STEM_TABLE,START_DATE,MEASUREMENT,MEASUREMENT_DATE
STEM_TABLE,START_DATETIME,MEASUREMENT,MEASUREMENT_DATETIME
STEM_TABLE,MEASUREMENT_TIME,MEASUREMENT,MEASUREMENT_TIME
STEM_TABLE,TYPE_CONCEPT_ID,MEASUREMENT,MEASUREMENT_TYPE_CONCEPT_ID
STEM_TABLE,OPERATOR_CONCEPT_ID,MEASUREMENT,OPERATOR_CONCEPT_ID
STEM_TABLE,VALUE_AS_NUMBER,MEASUREMENT,VALUE_AS_NUMBER
STEM_TABLE,VALUE_AS_CONCEPT_ID,MEASUREMENT,VALUE_AS_CONCEPT_ID
STEM_TABLE,UNIT_CONCEPT_ID,MEASUREMENT,UNIT_CONCEPT_ID
STEM_TABLE,RANGE_LOW,MEASUREMENT,RANGE_LOW
STEM_TABLE,RANGE_HIGH,MEASUREMENT,RANGE_HIGH
STEM_TABLE,PROVIDER_ID,MEASUREMENT,PROVIDER_ID
STEM_TABLE,VISIT_OCCURRENCE_ID,MEASUREMENT,VISIT_OCCURRENCE_ID
STEM_TABLE,VISIT_DETAIL_ID,MEASUREMENT,VISIT_DETAIL_ID
STEM_TABLE,SOURCE_VALUE,MEASUREMENT,MEASUREMENT_SOURCE_VALUE
STEM_TABLE,SOURCE_CONCEPT_ID,MEASUREMENT,MEASUREMENT_SOURCE_CONCEPT_ID
STEM_TABLE,UNIT_SOURCE_VALUE,MEASUREMENT,UNIT_SOURCE_VALUE
STEM_TABLE,VALUE_SOURCE_VALUE,MEASUREMENT,VALUE_SOURCE_VALUE
STEM_TABLE,PERSON_ID,OBSERVATION,PERSON_ID
STEM_TABLE,ID,OBSERVATION,OBSERVATION_ID
STEM_TABLE,CONCEPT_ID,OBSERVATION,OBSERVATION_CONCEPT_ID
STEM_TABLE,START_DATE,OBSERVATION,OBSERVATION_DATE
STEM_TABLE,START_DATETIME,OBSERVATION,OBSERVATION_DATETIME
STEM_TABLE,TYPE_CONCEPT_ID,OBSERVATION,OBSERVATION_TYPE_CONCEPT_ID
STEM_TABLE,VALUE_AS_NUMBER,OBSERVATION,VALUE_AS_NUMBER
STEM_TABLE,VALUE_AS_STRING,OBSERVATION,VALUE_AS_STRING
STEM_TABLE,VALUE_AS_CONCEPT_ID,OBSERVATION,VALUE_AS_CONCEPT_ID
STEM_TABLE,QUALIFIER_CONCEPT_ID,OBSERVATION,QUALIFIER_CONCEPT_ID
STEM_TABLE,UNIT_CONCEPT_ID,OBSERVATION,UNIT_CONCEPT_ID
STEM_TABLE,PROVIDER_ID,OBSERVATION,PROVIDER_ID
STEM_TABLE,VISIT_OCCURRENCE_ID,OBSERVATION,VISIT_OCCURRENCE_ID
STEM_TABLE,VISIT_DETAIL_ID,OBSERVATION,VISIT_DETAIL_ID
STEM_TABLE,SOURCE_VALUE,OBSERVATION,OBSERVATION_SOURCE_VALUE
STEM_TABLE,SOURCE_CONCEPT_ID,OBSERVATION,OBSERVATION_SOURCE_CONCEPT_ID
STEM_TABLE,UNIT_SOURCE_VALUE,OBSERVATION,UNIT_SOURCE_VALUE
STEM_TABLE,QUALIFIER_SOURCE_VALUE,OBSERVATION,QUALIFIER_SOURCE_VALUE
STEM_TABLE,PERSON_ID,PROCEDURE_OCCURRENCE,PERSON_ID
STEM_TABLE,ID,PROCEDURE_OCCURRENCE,PROCEDURE_OCCURRENCE_ID
STEM_TABLE,CONCEPT_ID,PROCEDURE_OCCURRENCE,PROCEDURE_CONCEPT_ID
STEM_TABLE,START_DATE,PROCEDURE_OCCURRENCE,PROCEDURE_DATE
STEM_TABLE,START_DATETIME,PROCEDURE_OCCURRENCE,PROCEDURE_DATETIME
STEM_TABLE,TYPE_CONCEPT_ID,PROCEDURE_OCCURRENCE,PROCEDURE_TYPE_CONCEPT_ID
STEM_TABLE,MODIFIER_CONCEPT_ID,PROCEDURE_OCCURRENCE,MODIFIER_CONCEPT_ID
STEM_TABLE,QUANTITY,PROCEDURE_OCCURRENCE,QUANTITY
STEM_TABLE,PROVIDER_ID,PROCEDURE_OCCURRENCE,PROVIDER_ID
STEM_TABLE,VISIT_OCCURRENCE_ID,PROCEDURE_OCCURRENCE,VISIT_OCCURRENCE_ID
STEM_TABLE,VISIT_DETAIL_ID,PROCEDURE_OCCURRENCE,VISIT_DETAIL_ID
STEM_TABLE,SOURCE_VALUE,PROCEDURE_OCCURRENCE,PROCEDURE_SOURCE_VALUE
STEM_TABLE,SOURCE_CONCEPT_ID,PROCEDURE_OCCURRENCE,PROCEDURE_SOURCE_CONCEPT_ID
STEM_TABLE,MODIFIER_SOURCE_VALUE,PROCEDURE_OCCURRENCE,MODIFIER_SOURCE_VALUE
STEM_TABLE,PERSON_ID,SPECIMEN,PERSON_ID
STEM_TABLE,ID,SPECIMEN,SPECIMEN_ID
STEM_TABLE,CONCEPT_ID,SPECIMEN,SPECIMEN_CONCEPT_ID
STEM_TABLE,TYPE_CONCEPT_ID,SPECIMEN,SPECIMEN_TYPE_CONCEPT_ID
STEM_TABLE,START_DATE,SPECIMEN,SPECIMEN_DATE
STEM_TABLE,START_DATETIME,SPECIMEN,SPECIMEN_DATETIME
STEM_TABLE,QUANTITY,SPECIMEN,QUANTITY
STEM_TABLE,UNIT_CONCEPT_ID,SPECIMEN,UNIT_CONCEPT_ID
STEM_TABLE,ANATOMIC_SITE_CONCEPT_ID,SPECIMEN,ANATOMIC_SITE_CONCEPT_ID
STEM_TABLE,DISEASE_STATUS_CONCEPT_ID,SPECIMEN,DISEASE_STATUS_CONCEPT_ID
STEM_TABLE,SPECIMEN_SOURCE_ID,SPECIMEN,SPECIMEN_SOURCE_ID
STEM_TABLE,SOURCE_VALUE,SPECIMEN,SPECIMEN_SOURCE_VALUE
STEM_TABLE,UNIT_SOURCE_VALUE,SPECIMEN,UNIT_SOURCE_VALUE
STEM_TABLE,ANATOMIC_SITE_SOURCE_VALUE,SPECIMEN,ANATOMIC_SITE_SOURCE_VALUE
STEM_TABLE,DISEASE_STATUS_SOURCE_VALUE,SPECIMEN,DISEASE_STATUS_SOURCE_VALUE
